Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
A Dutt,12,84.3,464,10,5.49,46.40,50.70,0,0,2/49,34,14,253
A Nortje,4,27.5,181,6,6.50,30.17,27.83,1,0,4/53,17,7,87
A Phillip,4,26.3,164,4,6.19,41.00,39.75,0,0,2/50,13,5,79
A Zampa,12,105.2,526,30,4.99,17.53,21.07,3,1,5/35,37,9,314
Aarif Sheikh,1,3.0,11,0,3.67,0,0,0,0,0/11,1,0,13
Aayan Afzal Khan,3,30.0,74,5,2.47,14.80,36.00,1,0,4/14,9,1,145
AC Agar,5,35.0,183,4,5.23,45.75,52.50,0,0,2/49,11,4,96
AF Milne,2,20.0,124,4,6.20,31.00,30.00,0,0,3/57,16,2,65
Afif Hossain,6,10.4,45,2,4.22,22.50,32.00,0,0,2/1000,5,0,36
Agha Salman,2,6.0,30,0,5.00,0,0,0,0,0/5,1,1,15
Ahmed Raza,2,9.0,72,1,8.00,72.00,54.00,0,0,1/39,7,3,26
AJ Hosein,20,182.0,923,31,5.07,29.77,35.23,1,0,4/39,65,18,551
AK Markram,5,24.0,132,4,5.50,33.00,36.00,0,0,2/25,12,2,67
AL Phehlukwayo,5,33.0,190,7,5.76,27.14,28.29,0,0,3/40,14,3,86
AM Fernando,1,10.0,64,1,6.40,64.00,60.00,0,0,1/64,7,1,31
AR McBrine,6,54.0,248,11,4.59,22.55,29.45,2,0,4/28,19,11,201
AR Patel,8,58.3,257,10,4.39,25.70,35.10,0,0,3/24,18,5,190
Arshdeep Singh,2,13.1,89,0,6.76,0,0,0,0,0/21,10,3,45
AS Joseph,17,150.2,694,27,4.62,25.70,33.41,0,0,3/36,58,13,538
AT Nidamanuru,1,1.0,8,0,8.00,0,0,0,0,0/8,0,1,3
AU Rashid,7,61.0,335,10,5.49,33.50,36.60,0,0,3/29,19,5,154
Avesh Khan,5,35.3,214,3,6.03,71.33,71.00,0,0,3/66,24,5,119
Azmatullah Omarzai,6,37.0,155,4,4.19,38.75,55.50,0,0,1/17,13,0,127
B Evans,8,49.3,317,9,6.40,35.22,33.00,0,1,5/54,39,7,157
B Kumar,2,18.0,131,0,7.28,0,0,0,0,0/64,9,3,41
B Muzarabani,6,56.4,288,12,5.08,24.00,28.33,1,0,4/52,29,3,208
BA Carse,6,42.4,246,6,5.77,41.00,42.67,0,0,2/49,18,5,125
BA Stokes,3,8.0,59,0,7.38,0,0,0,0,0/1,8,0,18
Basil Hameed,3,15.0,62,3,4.13,20.67,30.00,0,0,2/18,4,1,51
BC Fortuin,2,13.0,72,2,5.54,36.00,39.00,0,0,1/20,7,2,39
BD Glover,4,30.0,191,4,6.37,47.75,45.00,0,0,3/43,15,6,94
BFW de Leede,12,63.0,405,8,6.43,50.62,47.25,0,0,3/50,41,5,187
BM Tickner,6,51.0,334,9,6.55,37.11,34.00,1,0,4/50,40,9,162
C Campher,6,43.0,229,7,5.33,32.71,36.86,0,0,3/49,16,7,146
C de Grandhomme,3,15.0,50,3,3.33,16.67,30.00,0,0,1/10,3,1,61
C Floyd,2,15.0,58,3,3.87,19.33,30.00,0,0,2/41,4,1,55
C Green,12,60.0,295,11,4.92,26.82,32.73,0,1,5/33,31,2,196
C Gunasekara,1,1.0,8,0,8.00,0,0,0,0,0/8,1,0,4
C Karunaratne,8,42.0,244,10,5.81,24.40,25.20,0,0,3/47,24,3,121
C Overton,3,19.0,110,1,5.79,110.00,114.00,0,0,1/54,12,2,60
CA Young,6,49.3,312,12,6.30,26.00,24.75,0,0,3/42,41,7,175
CAK Rajitha,3,29.0,147,7,5.07,21.00,24.86,0,0,3/31,16,2,99
CB Sole,1,9.5,68,0,6.92,0,0,0,0,0/68,9,1,28
CBRLS Kumara,2,14.2,104,3,7.26,34.67,28.67,0,0,2/50,14,1,38
CJ Jordan,1,7.0,49,1,7.00,49.00,42.00,0,0,1/49,6,0,17
CN Ackermann,3,15.0,63,2,4.20,31.50,45.00,0,0,1/10,3,2,49
CN Greaves,1,2.0,24,0,12.00,0,0,0,0,0/24,5,0,4
CP Rizwan,2,2.0,11,0,5.50,0,0,0,0,0/1,2,0,9
CR Woakes,2,20.0,104,2,5.20,52.00,60.00,0,0,2/42,9,1,59
D Lakshan,2,9.0,64,1,7.11,64.00,54.00,0,0,1/43,5,1,17
D Myers,1,2.0,13,1,6.50,13.00,12.00,0,0,1/13,2,0,6
D Pretorius,4,20.2,134,6,6.59,22.33,20.33,1,0,4/36,13,4,58
DA Payne,1,9.0,38,1,4.22,38.00,54.00,0,0,1/38,3,0,34
DAJ Bracewell,2,14.0,47,3,3.36,15.67,28.00,0,0,2/23,6,0,65
DJ Hooda,6,25.0,119,3,4.76,39.67,50.00,0,0,1/6,8,3,79
DJ Malan,2,2.3,17,1,6.80,17.00,15.00,0,0,1/5,1,1,9
DJ Mitchell,3,11.0,38,4,3.45,9.50,16.50,0,0,3/25,0,2,40
DJ Willey,11,79.2,403,15,5.08,26.87,31.73,1,0,4/36,39,8,274
DL Chahar,7,49.0,270,10,5.51,27.00,29.40,0,0,3/27,33,3,176
DM de Silva,7,46.0,207,7,4.50,29.57,39.43,0,0,2/26,10,2,130
DN Wellalage,6,41.0,226,9,5.51,25.11,27.33,0,0,3/42,19,4,120
DS Airee,3,25.0,73,4,2.92,18.25,37.50,0,0,2/22,3,0,94
DT Tiripano,2,11.0,58,1,5.27,58.00,66.00,0,0,1/32,8,0,44
Ebadot Hossain,4,35.2,210,11,5.94,19.09,19.27,1,0,4/47,20,7,123
FA Allen,3,20.0,106,2,5.30,53.00,60.00,0,0,1/42,5,2,48
Fareed Ahmad,6,49.0,200,10,4.08,20.00,29.40,0,0,3/56,15,2,184
Fazalhaq Farooqi,10,79.1,403,17,5.09,23.71,27.94,2,0,4/49,49,5,293
FJ Klaassen,6,53.0,253,9,4.77,28.11,35.33,0,0,3/36,21,3,187
G Moti-Kanhai,4,36.4,134,8,3.65,16.75,27.50,1,0,4/23,13,3,148
GD Phillips,4,12.0,83,3,6.92,27.67,24.00,0,0,1/9,6,4,30
GH Dockrell,3,9.0,45,2,5.00,22.50,27.00,0,0,1/11,3,2,33
GI Hume,1,9.0,62,0,6.89,0,0,0,0,0/62,5,3,28
GJ Delany,1,7.0,50,1,7.14,50.00,42.00,0,0,1/50,6,1,16
GJ Maxwell,9,66.0,324,9,4.91,36.00,44.00,1,0,4/52,24,5,199
Gulbadin Naib,6,35.5,188,3,5.25,62.67,71.67,0,0,3/34,18,1,109
Gulsan Jha,3,18.0,97,5,5.39,19.40,21.60,0,0,2/26,9,3,72
H Shah,2,9.0,39,0,4.33,0,0,0,0,0/13,6,0,33
Hamza Tahir,1,9.0,70,1,7.78,70.00,54.00,0,0,1/70,3,5,21
Haris Rauf,7,59.0,330,15,5.59,22.00,23.60,1,0,4/77,32,5,185
Hasan Ali,3,23.2,153,2,6.56,76.50,70.00,0,0,2/29,18,2,73
Hasan Mahmud,3,24.0,125,3,5.21,41.67,48.00,0,0,2/47,13,4,102
Hazrat Bilal,3,19.0,84,3,4.42,28.00,38.00,0,0,2/33,12,0,77
HE van der Dussen,1,1.0,3,1,3.00,3.00,6.00,0,0,1/3,0,0,3
HH Pandya,3,17.0,74,6,4.35,12.33,17.00,1,0,4/24,4,3,66
HR Walsh,9,75.0,448,9,5.97,49.78,50.00,0,0,2/54,28,9,192
I Kaia,2,4.4,22,0,4.71,0,0,0,0,0/6,0,1,12
Iftikhar Ahmed,3,17.0,112,2,6.59,56.00,51.00,0,0,1/36,8,3,34
IS Sodhi,4,35.1,158,5,4.49,31.60,42.20,0,0,2/17,11,4,118
J Yadav,1,10.0,53,0,5.30,0,0,0,0,0/53,3,1,30
JA Duffy,2,16.4,104,4,6.24,26.00,25.00,0,0,3/52,11,3,61
JA Richardson,2,17.0,103,3,6.06,34.33,34.00,0,0,2/39,14,0,48
JB Little,6,49.2,300,6,6.08,50.00,49.33,0,0,2/40,39,3,161
JDF Vandersay,7,54.1,263,14,4.86,18.79,23.21,1,0,4/10,21,4,170
JDS Neesham,5,30.0,181,1,6.03,181.00,180.00,0,0,1/30,16,4,85
JE Root,1,0.1,4,0,24.00,0,0,0,0,0/4,1,0,0
JJ Bumrah,5,47.2,205,13,4.33,15.77,21.85,0,1,6/19,18,2,173
JNT Seales,7,55.1,321,4,5.82,80.25,82.75,0,0,1/39,33,5,168
JO Holder,10,71.0,342,13,4.82,26.31,32.77,1,0,4/34,40,4,256
JP Behrendorff,1,9.0,51,0,5.67,0,0,0,0,0/51,5,0,25
JR Hazlewood,13,109.3,433,15,3.95,28.87,43.80,0,0,3/30,47,4,423
Junaid Siddique,1,5.0,30,0,6.00,0,0,0,0,0/30,4,0,17
K Bhurtel,3,15.0,68,3,4.53,22.67,30.00,0,0,2/32,6,1,55
K Rabada,5,43.3,228,9,5.24,25.33,29.00,0,1,5/39,25,3,152
K Sinclair,3,28.2,123,5,4.34,24.60,34.00,1,0,4/41,7,0,80
KA Jamieson,3,22.4,110,6,4.85,18.33,22.67,0,0,3/45,13,2,93
KA Maharaj,10,87.0,421,9,4.84,46.78,58.00,0,0,2/56,24,10,250
KA Pollard,2,3.3,12,1,3.43,12.00,21.00,0,0,1/4,0,0,12
KAJ Roach,3,20.0,122,1,6.10,122.00,120.00,0,0,1/42,14,2,67
Karan KC,2,17.0,95,1,5.59,95.00,102.00,0,0,1/36,12,1,57
Khushdil Shah,3,18.0,122,2,6.78,61.00,54.00,0,0,1/50,8,3,37
KIC Asalanka,4,10.0,53,0,5.30,0,0,0,0,0/7,4,0,25
KMA Paul,3,17.0,96,2,5.65,48.00,51.00,0,0,2/57,9,1,54
KR Mayers,10,49.4,290,5,5.84,58.00,59.60,0,0,2/48,28,5,150
KR Sen,1,5.0,37,2,7.40,18.50,15.00,0,0,2/37,1,3,16
KU Carty,2,1.1,10,0,8.57,0,0,0,0,0/1,1,0,1
Kuldeep Yadav,8,67.2,333,12,4.95,27.75,33.67,1,0,4/18,15,13,210
L Ngidi,10,80.0,451,12,5.64,37.58,40.00,0,0,3/52,50,6,252
L Wood,1,10.0,59,0,5.90,0,0,0,0,0/59,8,0,29
LA Dawson,3,30.0,188,2,6.27,94.00,90.00,0,0,1/65,13,3,67
LH Ferguson,10,89.5,564,12,6.28,47.00,44.92,0,0,3/59,60,13,290
LM Jongwe,8,38.0,243,5,6.39,48.60,45.60,0,0,2/33,18,5,110
LN Rajbanshi,3,30.0,97,4,3.23,24.25,45.00,0,0,3/41,6,2,113
LS Livingstone,6,22.0,125,5,5.68,25.00,26.40,0,0,2/30,8,1,53
LV van Beek,12,100.0,610,15,6.10,40.67,40.00,1,0,4/56,58,13,317
M Jansen,3,24.1,149,2,6.17,74.50,72.50,0,0,2/57,17,3,78
M Labuschagne,6,26.4,157,2,5.89,78.50,80.00,0,0,2/19,12,3,72
M Prasidh Krishna,11,87.1,424,19,4.86,22.32,27.53,1,0,4/12,49,9,335
M Shumba,2,6.5,42,0,6.15,0,0,0,0,0/15,4,1,18
M Theekshana,11,99.0,454,9,4.59,50.44,66.00,0,0,2/26,36,6,324
MA Leask,1,8.0,46,2,5.75,23.00,24.00,0,0,2/46,3,1,17
MA Starc,8,68.2,291,16,4.26,18.19,25.62,1,0,4/47,24,4,260
Mahmudullah,7,11.2,94,4,8.29,23.50,17.00,0,0,1/2,7,4,24
MD Shanaka,7,17.0,136,2,8.00,68.00,51.00,0,0,1/27,18,1,41
Mehidy Hasan Miraz,15,124.1,676,24,5.44,28.17,31.04,2,0,4/29,59,18,384
MG Bracewell,13,79.0,410,10,5.19,41.00,47.40,0,0,3/21,34,13,259
MJ Henry,10,88.3,417,18,4.71,23.17,29.50,2,0,4/36,48,9,337
MJ Potts,1,4.0,33,0,8.25,0,0,0,0,0/33,5,0,12
MJ Santner,12,94.3,448,12,4.74,37.33,47.25,0,0,3/71,25,12,297
MJ Swepson,3,26.2,161,3,6.11,53.67,52.67,0,0,2/53,12,5,67
MJG Rippon,3,25.0,132,3,5.28,44.00,50.00,0,0,2/32,8,5,72
MM Ali,9,52.2,294,8,5.62,36.75,39.25,0,0,3/57,24,4,141
Mohammad Nabi,8,63.0,256,12,4.06,21.33,31.50,1,0,4/34,20,3,217
Mohammad Nawaz(3),6,58.1,254,11,4.37,23.09,31.73,1,0,4/19,12,10,197
Mohammad Wasim(1),8,66.4,343,15,5.14,22.87,26.67,1,0,4/36,33,6,228
Mohammed Shami,3,24.0,117,4,4.88,29.25,36.00,0,0,3/31,15,1,92
Mohammed Siraj,15,122.0,563,24,4.61,23.46,30.50,0,0,3/29,61,7,484
Mosaddek Hossain,3,29.2,127,3,4.33,42.33,58.67,0,0,1/23,9,2,100
MP Kuhnemann,4,38.0,191,7,5.03,27.29,32.57,0,0,2/26,20,0,113
MP Stoinis,9,30.0,141,4,4.70,35.25,45.00,0,0,1/6,10,1,89
MR Adair,5,36.5,190,7,5.16,27.14,31.57,0,0,3/38,16,5,140
MR Marsh,5,21.0,84,4,4.00,21.00,31.50,0,0,2/29,6,0,76
MRJ Watt,1,9.0,57,0,6.33,0,0,0,0,0/57,6,1,25
Muhammad Waseem,2,1.5,8,0,4.36,0,0,0,0,1/1000,1,0,7
Mujeeb Ur Rahman,12,92.3,413,8,4.46,51.62,69.38,0,0,3/32,34,4,308
Mustafizur Rahman,14,105.3,470,14,4.45,33.57,45.21,1,0,4/17,45,7,380
N Pooran,6,27.4,168,6,6.07,28.00,27.67,1,0,4/48,8,5,70
N Pradeep,2,20.0,128,4,6.40,32.00,30.00,0,0,2/54,12,2,53
Naseem Shah,3,26.0,111,10,4.27,11.10,15.60,0,1,5/33,5,1,101
Nasum Ahmed,4,37.4,128,5,3.40,25.60,45.20,0,0,3/19,7,4,153
NE Bonner,2,8.0,40,1,5.00,40.00,48.00,0,0,1/29,0,0,18
Noor Ahmad,1,4.0,32,0,8.00,0,0,0,0,0/32,3,0,7
NT Ellis,3,23.0,143,3,6.22,47.67,46.00,0,0,1/36,14,1,60
OF Smith,5,24.1,122,6,5.05,20.33,24.17,0,0,2/26,12,1,96
OP Stone,2,20.0,135,4,6.75,33.75,30.00,1,0,4/85,16,3,61
PA van Meekeren,1,7.0,59,2,8.43,29.50,21.00,0,0,2/59,6,3,21
PHKD Mendis,2,8.0,51,1,6.38,51.00,48.00,0,0,1/32,5,0,18
PJ Cummins,6,47.5,229,13,4.79,17.62,22.08,1,0,4/35,22,4,179
PM Liyanagamage,1,3.0,13,1,4.33,13.00,18.00,0,0,1/13,2,0,12
PM Seelaar,10,75.0,390,3,5.20,130.00,150.00,0,0,2/83,17,15,214
PR Stirling,1,4.0,16,0,4.00,0,0,0,0,0/16,2,0,15
PRP Boissevain,5,38.3,277,3,7.19,92.33,77.00,0,0,2/39,17,13,100
PVD Chameera,5,35.4,195,5,5.47,39.00,42.80,0,0,2/19,18,4,122
PWH de Silva,5,49.0,258,10,5.27,25.80,29.40,1,0,4/58,21,8,154
Qais Ahmad,1,7.4,32,3,4.17,10.67,15.33,0,0,3/32,4,1,31
R Ashwin,2,20.0,121,1,6.05,121.00,120.00,0,0,1/53,8,2,44
R Klein,4,29.1,172,2,5.90,86.00,87.50,0,0,1/42,12,3,73
R Ngarava,10,79.3,422,11,5.31,38.36,43.36,0,0,3/56,47,9,284
R Powell,2,5.5,32,0,5.49,0,0,0,0,0/8,2,0,11
R Shepherd,10,65.5,360,7,5.47,51.43,56.43,0,0,3/50,34,7,208
RA Jadeja,2,9.0,38,1,4.22,38.00,54.00,0,0,1/21,2,0,27
Rahmat Shah,1,1.0,10,0,10.00,0,0,0,0,0/10,2,0,3
Rashid Khan,11,102.5,423,23,4.11,18.39,26.83,1,0,4/37,28,3,344
Ravi Bishnoi,1,8.0,69,1,8.62,69.00,48.00,0,0,1/69,7,1,21
RJW Topley,7,48.5,213,13,4.36,16.38,22.54,0,1,6/24,26,1,191
RL Chase,3,20.0,93,4,4.65,23.25,30.00,0,0,3/44,8,2,63
Rohan Mustafa,3,25.1,85,4,3.38,21.25,37.75,0,0,3/24,6,1,95
RP Burl,10,34.5,210,10,6.03,21.00,20.90,0,1,5/10,20,4,103
RTM Mendis,1,4.0,26,2,6.50,13.00,12.00,0,0,2/26,3,0,14
S Snater,2,13.1,125,1,9.49,125.00,79.00,0,0,1/99,11,5,26
SA Abbott,6,42.0,202,7,4.81,28.86,36.00,0,0,2/1,20,3,146
Sabir Ali,1,5.0,23,0,4.60,0,0,0,0,0/23,3,0,21
Saqib Zulfiqar,1,3.0,13,1,4.33,13.00,18.00,0,0,1/13,0,0,6
SC Williams,8,34.4,218,2,6.29,109.00,104.00,0,0,1/6,16,5,84
SH Lewis,1,9.5,67,3,6.81,22.33,19.67,0,0,3/67,7,1,25
Shadab Khan,5,47.0,227,8,4.83,28.38,35.25,1,0,4/62,9,8,144
Shahbaz Ahmed,3,26.0,125,3,4.81,41.67,52.00,0,0,2/32,11,1,75
Shaheen Shah Afridi,4,32.0,175,9,5.47,19.44,21.33,1,0,4/63,18,5,112
Shahidullah,1,3.0,16,0,5.33,0,0,0,0,0/16,2,0,8
Shahnawaz Dahani,2,16.0,73,1,4.56,73.00,96.00,0,0,1/36,7,1,61
Shakib Al Hasan,9,87.0,380,17,4.37,22.35,30.71,0,1,5/36,23,9,286
Sharafuddin Ashraf,2,14.0,46,0,3.29,0,0,0,0,0/23,3,0,50
Shariz Ahmad,2,14.0,69,2,4.93,34.50,42.00,0,0,1/28,4,3,46
Shoriful Islam,10,71.4,413,12,5.76,34.42,35.83,1,0,4/34,39,11,228
Sikandar Raza,14,90.0,453,9,5.03,50.33,60.00,0,0,3/56,42,2,268
Simi Singh,2,18.1,103,2,5.67,51.50,54.50,0,0,2/51,3,6,53
SM Curran,7,47.0,291,4,6.19,72.75,70.50,0,0,2/46,23,5,124
SM Sharif,1,8.0,40,0,5.00,0,0,0,0,0/40,6,0,28
SN Thakur,16,115.0,644,22,5.60,29.27,31.36,0,0,3/30,58,14,378
Sompal Kami,3,26.2,135,5,5.13,27.00,31.60,0,0,3/35,12,6,97
SS Iyer,2,3.1,22,0,6.95,0,0,0,0,0/1,1,1,7
SSB Magala,2,18.0,133,2,7.39,66.50,54.00,0,0,1/64,12,1,48
T Bavuma,1,6.1,22,0,3.57,0,0,0,0,0/22,3,0,24
T Munyonga,1,1.0,10,0,10.00,0,0,0,0,0/10,2,0,2
T Shamsi,7,59.0,357,10,6.05,35.70,35.40,0,0,2/39,29,6,159
TA Boult,6,56.0,223,18,3.98,12.39,18.67,2,0,4/38,20,2,227
Taijul Islam,3,29.0,110,8,3.79,13.75,21.75,0,1,5/28,9,3,112
Taskin Ahmed,10,85.0,460,14,5.41,32.86,36.43,0,1,5/35,42,12,291
TG Southee,8,68.3,325,14,4.74,23.21,29.36,1,0,4/22,28,11,253
TJG Pringle,4,33.1,221,1,6.66,221.00,199.00,0,0,1/51,20,6,82
TL Chatara,6,52.3,272,6,5.18,45.33,52.50,0,0,3/52,31,3,186
TL Chivanga,5,36.2,197,3,5.42,65.67,72.67,0,0,1/38,25,2,135
TLW Cooper,3,14.0,66,1,4.71,66.00,84.00,0,0,1/25,4,2,45
TM Head,4,13.0,81,2,6.23,40.50,39.00,0,0,2/35,5,2,29
Umran Malik,4,33.0,198,7,6.00,28.29,28.29,0,0,2/43,24,2,109
V Sukumaran,1,2.0,4,0,2.00,0,0,0,0,0/4,0,0,9
VJ Kingma,9,63.2,355,8,5.61,44.38,47.50,0,0,2/15,28,10,224
VM Nyauchi,8,52.0,260,5,5.00,52.00,62.40,0,0,1/15,27,3,201
VR Iyer,1,5.0,28,0,5.60,0,0,0,0,0/28,2,0,10
W Madhevere,11,38.0,192,3,5.05,64.00,76.00,0,0,2/40,15,4,111
Washington Sundar,10,60.0,264,13,4.40,20.31,27.69,0,0,3/30,17,6,200
WD Parnell,3,18.5,88,3,4.67,29.33,37.67,0,0,1/6,12,0,70
WP Masakadza,4,29.0,136,1,4.69,136.00,174.00,0,0,1/42,8,0,69
Y Cariah,3,25.0,152,3,6.08,50.67,50.00,0,0,2/77,17,3,75
Yamin Ahmadzai,4,30.0,165,5,5.50,33.00,36.00,0,0,2/34,24,1,106
Yasir Ali,1,1.0,2,0,2.00,0,0,0,0,0/2,0,0,4
YS Chahal,12,103.4,569,21,5.49,27.10,29.62,3,0,4/17,32,23,310
Zahid Mahmood,4,36.0,220,4,6.11,55.00,54.00,0,0,2/59,18,6,95
Zahoor Khan,3,24.0,81,1,3.38,81.00,144.00,0,0,1/21,9,0,99
